state_id,name,lon,lat,provinces,manpower,vp_count,vp_weight,urban_count,rail_degree,rail_provinces,hubs,C_raw,P_raw,R_raw,T_raw,C,P,R,T,score,percentile,old_infra,new_infra
197,197-Mykolaiv,32.058353,47.864936,15,896311,3,3.732051,1,26,12,1,0.332137,10.998009,2.500000,0.953333,0.443380,0.796836,0.889838,0.997644,0.709565,83.163265,4,7
198,198-Vinnytsia,28.169172,48.808496,14,1893391,3,4.236068,1,20,9,1,0.391862,11.814830,2.089286,0.906429,0.529576,1.000000,0.720168,0.906482,0.751152,89.285714,4,7
199,199-Khmelnytskyi,26.653604,49.633563,15,1424022,4,5.464102,0,17,8,1,0.364273,11.460956,1.700000,0.840000,0.489760,0.943394,0.559351,0.777373,0.671130,78.061224,4,6
200,200-Rivne,35.637201,47.454605,22,1294082,3,4.968119,2,28,13,2,0.339460,10.982287,1.943182,0.954545,0.453949,0.791858,0.659811,1.000000,0.678516,81.122449,4,6
201,201-Zhytomyr,28.468941,50.301952,35,1417834,6,7.464102,1,34,16,1,0.248974,10.609318,1.385714,0.852857,0.323359,0.673785,0.429517,0.802362,0.522690,58.673469,4,5
202,202-Western Kiev,30.297139,50.352366,22,2495352,8,13.464102,4,39,16,2,0.839277,11.638907,2.545455,0.944091,1.000000,0.999729,0.908615,0.979681,0.982161,96.428571,6,8
203,203-Cherkasy,32.036395,49.154402,20,1865190,4,6.700170,2,22,10,2,0.460008,11.443152,1.725000,0.856000,0.627926,0.937758,0.569679,0.808470,0.732756,86.224490,4,7
204,204-Brest,28.245230,52.971960,21,1041084,6,8.196152,1,27,11,2,0.449817,10.811271,1.916667,0.752381,0.613218,0.737719,0.648858,0.607080,0.648461,73.979592,4,6
205,205-Hrodna,35.247418,54.272402,29,1121004,5,6.236068,1,32,14,1,0.258140,10.562465,1.551724,0.815172,0.336587,0.658952,0.498097,0.729119,0.519911,56.632653,4,5
206,206-Minsk,27.615333,54.077856,16,963163,1,4.472136,2,21,9,2,0.435758,11.005406,2.046875,0.750000,0.592928,0.799177,0.702648,0.602452,0.662853,75.000000,5,6
207,207-Viciebsk,29.169011,55.182985,28,1217854,5,6.236068,1,40,18,2,0.267360,10.680419,2.089286,0.857500,0.349893,0.696294,0.720168,0.811386,0.584333,64.795918,4,5
208,208-Pskov,29.086131,58.905770,13,259819,4,4.000000,0,21,8,1,0.307692,9.902841,2.269231,0.627692,0.408101,0.450131,0.794505,0.364739,0.467897,52.551020,4,5
209,209-Smolensk,28.703694,57.811525,27,639587,5,6.236068,1,34,14,2,0.277262,10.072783,1.833333,0.659630,0.364184,0.503930,0.614432,0.426811,0.449183,44.387755,4,4
210,210-Bryansk,30.373720,56.409286,22,830133,1,2.236068,1,25,12,1,0.158458,10.538325,1.659091,0.589545,0.192724,0.651310,0.542451,0.290598,0.379404,36.224490,4,4
213,213-Murmansk,35.019614,67.599745,33,275751,1,2.236068,0,21,10,1,0.067760,9.030866,0.939394,0.587576,0.061827,0.174083,0.245138,0.286770,0.162376,5.612245,2,2
214,214-Arkhangelsk,41.773608,62.920788,51,1050883,2,3.236068,0,20,10,1,0.063452,9.933364,0.588235,0.730000,0.055611,0.459793,0.100071,0.563581,0.264919,16.836735,2,3
215,215-Eastern Karelia,32.597706,64.351140,48,214858,1,1.000000,0,34,16,0,0.020833,8.406755,0.958333,0.685208,0.000000,0.000000,0.252962,0.476525,0.133249,1.530612,3,1
216,216-Below Zero,33.922459,61.578381,45,229564,4,5.236068,1,29,14,1,0.144135,8.537471,0.933333,0.653111,0.172053,0.017886,0.242634,0.414142,0.192516,10.714286,3,2
217,217-Stalingrad Area,45.177670,49.106213,43,1135070,9,15.673378,5,37,17,3,0.509846,10.181043,1.331395,0.934419,0.699853,0.538203,0.407077,0.960882,0.667730,77.040816,5,6
218,218-Rostov Area,39.654194,47.644879,16,1501076,6,9.605034,2,34,15,3,0.756565,11.449115,3.296875,0.956250,1.000000,0.939645,1.000000,1.000000,0.984911,97.448980,4,8
219,219-Moscow Area,37.509178,55.541262,49,8335992,16,25.731322,6,74,30,3,0.678190,12.044279,2.122449,0.720408,0.942809,1.000000,0.733868,0.544938,0.846192,93.367347,6,8
220,220-Kursk Area,35.969459,51.619948,24,1680086,3,4.236068,1,33,14,1,0.228586,11.156316,1.916667,0.924583,0.293934,0.846952,0.648858,0.941767,0.614994,70.918367,4,6
221,221-Kharkov,36.453504,49.668068,23,2227520,5,9.358430,1,36,16,1,0.461236,11.480916,2.195652,0.952174,0.629698,0.949713,0.764109,0.995391,0.803002,91.326531,5,7
222,222-Orel,36.358154,52.694144,23,1218607,4,6.162278,1,27,12,1,0.322273,10.877744,1.673913,0.894783,0.429144,0.758762,0.548574,0.883847,0.620404,71.938776,4,6
223,223-tula,37.330751,53.805606,24,1635549,3,4.236068,1,25,11,1,0.228586,11.129450,1.489583,0.842083,0.293934,0.838447,0.472426,0.781422,0.554334,62.755102,4,5
224,224-Bryansk,33.245834,52.824016,33,1707567,6,8.894328,1,38,17,2,0.307404,10.854092,1.689394,0.831515,0.407685,0.751275,0.554969,0.760882,0.586315,65.816327,4,5
225,225-Glukhov,33.888244,51.063154,21,1338280,5,6.968119,1,28,12,2,0.391339,11.062389,2.000000,0.952381,0.528822,0.817217,0.683283,0.995793,0.717484,84.183673,4,7
226,226-Nikopol,34.684945,48.425918,23,2391047,6,12.602532,3,30,13,2,0.710980,11.551757,1.945652,0.956522,0.990132,0.972139,0.660832,1.000000,0.938212,94.387755,4,8
227,227-Stalino,37.602938,48.201374,26,3767336,9,15.326549,7,50,19,5,0.926021,11.883789,2.951923,0.963462,1.000000,1.000000,1.000000,1.000000,1.000000,99.489796,4,9
228,228-Taganrog,38.945479,49.099314,19,2167411,6,7.236068,1,33,14,2,0.446635,11.644614,2.552632,0.952632,0.608626,1.000000,0.911580,0.996280,0.829443,92.346939,4,8
229,229-baku,47.991209,40.295905,48,2881049,9,11.162278,1,33,16,2,0.258589,11.002481,1.041667,0.590833,0.337235,0.798251,0.287388,0.293101,0.436185,43.367347,4,4
230,230-Armenia,45.101063,40.127514,24,1250082,4,4.000000,1,14,7,1,0.218750,10.860685,0.906250,0.403333,0.279739,0.753362,0.231446,0.000000,0.334953,29.081633,3,3
231,231-Georgia,43.706870,42.073090,38,2949413,9,11.700170,1,44,21,3,0.340794,11.259543,1.769737,0.590789,0.455874,0.879631,0.588160,0.293016,0.549085,60.714286,3,5
232,232-Grozny,47.015727,43.328084,45,1658292,5,6.968119,1,40,19,3,0.182625,10.514663,1.372222,0.742222,0.227602,0.643819,0.423943,0.587335,0.433054,42.346939,4,4
233,233-Caucasus Mountains,43.173517,43.367695,44,1463970,10,10.732051,0,27,14,0,0.243910,10.412503,0.852273,0.367727,0.316050,0.611478,0.209148,0.000000,0.310662,23.979592,2,3
234,234-Krasodar,39.436732,45.494802,52,2903371,11,12.968119,1,31,16,2,0.273425,10.930157,0.923077,0.749615,0.358647,0.775355,0.238397,0.601705,0.493398,54.591837,4,5
235,235-Stravropol,43.311758,45.045579,51,1316516,7,7.732051,0,49,22,2,0.151609,10.158713,1.382353,0.924510,0.182839,0.531134,0.428128,0.941624,0.458463,49.489796,3,4
236,236-Astrakhan,47.379790,46.994926,40,647208,3,3.732051,1,35,17,1,0.124551,9.691605,1.256250,0.706750,0.143790,0.383258,0.376034,0.518393,0.313414,25.000000,4,3
237,237-Elista,45.548745,46.705950,42,169620,3,3.000000,0,21,10,1,0.071429,8.303894,0.738095,0.885000,0.067122,0.000000,0.161980,0.864834,0.224113,13.775510,2,2
238,238-volgodonsk,42.278090,46.945213,36,556677,4,4.000000,0,22,10,1,0.111111,9.646286,0.888889,0.950000,0.124392,0.368911,0.224274,0.991166,0.373859,34.183673,3,4
239,239-Saratov,45.154499,51.783040,50,1226088,6,8.700170,1,39,18,2,0.199003,10.107357,1.150000,0.919400,0.251240,0.514876,0.332141,0.931692,0.465375,51.530612,3,5
240,240-Voronezh,37.306453,50.663516,23,1364537,6,6.732051,0,28,13,1,0.292698,10.990848,1.750000,0.950000,0.386461,0.794569,0.580006,0.991166,0.638461,72.959184,4,6
241,241-Pochep,30.909315,53.236121,24,943422,5,7.894328,1,18,8,1,0.381014,10.579241,1.104167,0.910833,0.513920,0.664263,0.313207,0.915043,0.601623,67.857143,4,5
242,242-Smolensk,32.971306,55.128890,30,1300028,4,7.605034,2,47,21,3,0.336834,10.676722,2.341667,0.777333,0.450160,0.695123,0.824429,0.655576,0.608624,69.897959,4,6
243,243-Roslavl,32.407765,54.202824,17,576210,1,1.732051,1,23,10,1,0.175415,10.431044,1.941176,0.836471,0.217196,0.617347,0.658983,0.770513,0.494166,55.612245,4,5
244,244-Gatchina,32.355606,59.204329,17,195325,2,2.000000,0,25,12,0,0.117647,9.349294,2.000000,0.620000,0.133825,0.274890,0.683283,0.349788,0.294703,18.877551,4,3
245,245-Donetsk,41.661925,48.783017,38,761769,6,6.000000,0,41,18,1,0.157895,9.905862,1.500000,0.950000,0.191911,0.451087,0.476729,0.991166,0.459279,50.510204,4,5
246,246-Rzhev,33.419574,56.652291,57,1025458,5,6.464102,1,58,27,3,0.135335,9.797654,1.504386,0.672982,0.159353,0.416831,0.478541,0.452763,0.330283,26.020408,4,3
247,247-Tver,36.258709,57.351621,35,1331211,4,6.162278,1,27,13,1,0.211779,10.546278,1.121429,0.640286,0.269678,0.653828,0.320338,0.389215,0.397222,38.265306,3,4
248,248-Yaroslavl,39.351047,57.700641,50,1664541,5,8.708204,3,32,15,1,0.249164,10.413067,0.915000,0.681000,0.323633,0.611656,0.235061,0.468346,0.411295,39.285714,3,4
249,249-Kazan,51.036894,55.203390,67,2761291,6,9.626379,2,31,15,1,0.180991,10.626541,0.667910,0.888955,0.225244,0.679237,0.132986,0.872521,0.454359,47.448980,4,4
250,250-ulyanovsky,47.503336,53.841070,42,1630524,3,4.968119,2,18,9,1,0.177812,10.566768,0.648810,0.745000,0.220657,0.660315,0.125095,0.592734,0.390652,37.244898,3,4
251,251-Samara,50.622733,53.216063,47,1391819,2,3.968119,1,53,25,1,0.111024,10.296008,1.579787,0.903404,0.124266,0.574598,0.509690,0.900604,0.449930,45.408163,3,4
252,252-Nizhny Novogrod,44.230804,55.906342,69,3378176,7,11.862447,2,33,16,2,0.208151,10.798760,0.724638,0.807971,0.264442,0.733758,0.156420,0.715123,0.455704,48.469388,4,4
253,253-Ivanovo,41.040264,56.368212,55,2585987,8,10.700170,1,23,11,1,0.217276,10.758306,0.613636,0.710909,0.277611,0.720951,0.110565,0.526476,0.413162,41.326531,3,4
254,254-Ryazan,40.464934,54.191058,39,1824120,2,3.236068,1,30,14,1,0.115027,10.753068,1.102564,0.883590,0.130044,0.719293,0.312545,0.862093,0.451141,46.428571,4,4
255,255-Penza,44.356755,53.396865,55,2342937,5,8.204187,2,39,18,2,0.194622,10.659606,1.045455,0.867818,0.244916,0.689705,0.288953,0.831440,0.480023,53.571429,3,5
256,256-Cheboksary,47.553636,56.111446,53,1572061,6,8.700170,1,14,7,1,0.187739,10.297640,0.410377,0.701887,0.234983,0.575115,0.026597,0.508941,0.343550,30.102041,4,4
257,257-Livny,41.506725,52.575341,30,1779583,4,5.968119,1,22,10,1,0.240604,10.990709,1.066667,0.907667,0.311278,0.794525,0.297715,0.908888,0.549577,61.734694,3,5
258,258-lipetsk,39.038637,52.564388,22,1282096,2,3.236068,1,32,14,2,0.203912,10.972982,2.159091,0.907273,0.258324,0.788912,0.749005,0.908122,0.594533,66.836735,3,5
259,259-Liski,33.757286,49.693740,22,1442584,3,4.968119,2,24,11,2,0.339460,11.090919,1.693182,0.954545,0.453949,0.826249,0.556534,1.000000,0.671622,79.081633,4,6
260,260-Borisoglbsk,40.101972,50.948081,42,2567983,5,6.236068,1,25,12,1,0.178240,11.020978,0.869048,0.951190,0.221273,0.804107,0.216077,0.993479,0.520644,57.653061,3,5
262,262-Torzhok,54.539499,66.900356,22,43590,1,1.000000,0,0,0,0,0.045455,7.592045,0.000000,0.760455,0.029636,0.000000,0.000000,0.622771,0.136409,2.551020,1,1
263,263-Veliky Novogrod,30.625022,58.052327,16,831754,3,4.236068,1,25,11,2,0.342879,10.858723,2.390625,0.567500,0.458884,0.752741,0.844654,0.247751,0.547987,59.693878,4,5
264,264-Tikhvin,34.716177,59.261314,61,185559,5,5.732051,1,28,13,1,0.114460,8.020583,0.659836,0.625082,0.129225,0.000000,0.129650,0.359665,0.143071,3.571429,3,1
265,265-Mikhaylovka,43.390770,50.256336,48,468781,7,7.732051,0,38,18,1,0.161084,9.186792,1.125000,0.940417,0.196515,0.223446,0.321813,0.972540,0.377247,35.204082,3,4
318,318-Oranienbaum,28.695968,59.452558,6,97054,2,4.162278,0,11,5,1,0.693713,9.691325,2.875000,0.746667,0.965212,0.383170,1.000000,0.595973,0.751072,88.265306,4,7
348,348-Kayseri,30.374129,48.725557,10,543312,2,3.464102,1,16,7,1,0.471410,10.902872,2.375000,0.889000,0.644381,0.766717,0.838199,0.872608,0.749683,87.244898,4,7
351,351-Vologda,40.751050,59.417464,174,2352100,8,9.464102,2,37,18,1,0.068759,9.511838,0.304598,0.624368,0.063270,0.326348,0.000000,0.358277,0.178550,7.653061,3,2
397,397-Syktyvkar,52.739950,62.277212,22,137203,2,2.732051,0,3,2,1,0.124184,8.738335,0.318182,0.620000,0.143260,0.081475,0.000000,0.349788,0.147630,4.591837,2,1
398,398-Perm,56.331620,59.133934,166,2135879,9,11.700170,1,39,19,2,0.078013,9.462479,0.350904,0.642892,0.076625,0.310722,0.002028,0.394280,0.187491,9.693878,3,2
399,399-Izhevsk,52.457814,57.011581,65,1324935,6,7.968119,1,16,8,1,0.141817,9.922536,0.376923,0.747692,0.168708,0.456365,0.012777,0.597967,0.303084,20.918367,3,3
400,400-Kirov,49.126092,58.938381,175,2115475,9,10.236068,2,53,26,2,0.072778,9.400087,0.442857,0.643200,0.069069,0.290970,0.040014,0.394879,0.185348,8.673469,3,2
401,401-Engels,48.297892,51.295721,51,927795,1,1.000000,1,34,17,1,0.044118,9.808795,0.965686,0.900588,0.027707,0.420358,0.256000,0.895130,0.333598,28.061224,4,3
402,402-Akhtubinsk,61.221429,47.611761,25,112115,0,0,0,10,5,0,0.000000,8.408628,0.550000,0.840800,0.000000,0.000000,0.084276,0.778928,0.168427,6.632653,2,2
406,406-Krasnyy Yar,52.066297,47.897824,19,146494,1,1.000000,0,9,5,0,0.052632,8.950430,0.671053,0.820000,0.039994,0.148619,0.134284,0.738502,0.220995,12.755102,1,2
407,407-Uralsk,51.408310,49.856654,39,268572,1,1.000000,0,20,9,1,0.025641,8.837458,0.750000,0.802564,0.001041,0.112855,0.166898,0.704614,0.194587,11.734694,2,2
573,573-Ts 15,59.048435,56.579610,12,456677,2,2.000000,0,10,5,0,0.166667,10.546851,1.145833,0.415000,0.204571,0.654009,0.330420,0.000000,0.294894,19.897959,2,3
581,581-Northern Urals,62.047878,64.363721,10,48831,0,0,0,0,0,0,0.000000,8.493740,0.000000,0.364000,0.000000,0.004042,0.000000,0.000000,0.001010,0.510204,1,1
582,582-Sourthern Urals,58.177401,52.966725,9,510570,1,1.732051,0,4,2,0,0.192450,10.946076,0.611111,0.444444,0.241782,0.780395,0.109522,0.008584,0.309957,22.959184,2,3
584,584-Turkmenistan,59.845571,38.831988,30,1064523,1,1.000000,0,6,3,1,0.033333,10.476868,0.358333,0.802667,0.012142,0.631854,0.005097,0.704813,0.304548,21.938776,2,3
585,585-Uzbekistan,61.628316,43.018074,26,1033721,0,0,0,16,8,0,0.000000,10.590604,0.846154,0.845000,0.000000,0.667861,0.206620,0.787091,0.355376,32.142857,2,4
587,587-Western Kazakstan,54.685058,44.875020,12,245133,0,0,0,7,4,0,0.000000,9.924699,0.833333,0.820000,0.000000,0.457050,0.201323,0.738502,0.292161,17.857143,1,3
651,651-Sov state 5,55.723792,54.648381,75,2552075,8,9.968119,1,33,16,2,0.149575,10.434959,0.666667,0.868667,0.179904,0.618587,0.132472,0.833089,0.413097,40.306122,3,4
652,652-Sov state 6,54.181374,52.327184,75,1225870,5,6.968119,1,48,23,2,0.109575,9.701734,0.936667,0.912000,0.122175,0.386465,0.244011,0.917310,0.365550,33.163265,3,4
876,876-Magnitogorsk,60.337578,52.569000,9,634421,2,2.732051,0,12,5,1,0.303561,11.163258,2.027778,0.950000,0.402139,0.849149,0.694759,0.991166,0.675590,80.102041,3,6
877,877-Aktobe,57.079554,49.526042,8,170130,1,1.000000,0,0,0,0,0.125000,9.964924,0.000000,0.843750,0.144437,0.469784,0.000000,0.784662,0.332153,27.040816,2,3
980,980-Sevastopol,33.614376,44.838558,3,300000,1,4.472136,3,6,3,0,2.740712,11.512935,2.750000,1.000000,1.000000,0.959849,0.993115,1.000000,0.988930,98.469388,8,9
