From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
5290;8969;;-1;-1;-1;-1;-1;CENTRE_BANDA_ARCHIPELAGO;centre banda archipelago
5386;5637;;-1;-1;-1;-1;-1;COOK_STRAIT;cook strait
13308;13309;;-1;-1;-1;-1;-1;CORSICA_STRAIT;corsica strait
8282;8308;;-1;-1;-1;-1;-1;CRIMEA_STRAIT;crimea strait
8492;13305;;-1;-1;-1;-1;-1;DELAWARE_STRAIT;delaware strait
7002;7226;;-1;-1;-1;-1;-1;EASTERN_CRETE_STRAIT;eastern crete strait
2729;5579;;-1;-1;-1;-1;-1;ELBE_STRAIT;elbe strait
2124;2291;;-1;-1;-1;-1;-1;FLORES_ARCHIPELAGO;flores archipelago
5382;5407;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
2400;5407;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
5430;13430;sea;9671;-1;-1;-1;-1;GOLDEN_GATE;Golden State (Bridge)
2408;2431;;-1;-1;-1;-1;-1;GREAT_BELT_STRAIT;Denmark
1434;1660;;-1;-1;-1;-1;-1;GULF_OF_FINLAND;Gulf of finland
5953;6054;;-1;-1;-1;-1;-1;HUDSON_STRAIT;hudson strait
217;6054;;-1;-1;-1;-1;-1;HUDSON_STRAIT;hudson strait
5953;5977;;-1;-1;-1;-1;-1;HUDSON_STRAIT;hudson strait
1885;2107;;-1;-1;-1;-1;-1;IRBE_STRAIT;irbe strait
5664;13456;;-1;-1;-1;-1;-1;ISE_BAY;ise bay
2945;5257;;-1;-1;-1;-1;-1;JOHNSTONE_STRAIT;Johnstone Strait
2408;2729;sea;6257;2949;1598;2962;1612;KIEL_CANAL;Kiel
7932;8791;sea;1025;-1;-1;-1;-1;KITAKYUSHU_CANAL;Kitakyushu canal
234;5463;;-1;-1;-1;-1;-1;MANILLA_STRAIT;manilla strait
2971;13402;;-1;-1;-1;-1;-1;MINDORO_STRAIT;mindoro strait
2332;13326;sea;149;-1;-1;-1;-1;NEVA_CANAL;Neva
2510;5295;;-1;-1;-1;-1;-1;NEVELSKY_STRAIT;nevelsky strait
3826;8668;;-1;-1;-1;-1;-1;NEWFOUNDLAND_STRAIT;newfoundland strait
8492;13304;;-1;-1;-1;-1;-1;NORFOLK_STRAIT;norfolk strait
3590;8340;;-1;-1;-1;-1;-1;NORTHERN_IRISH_SEA;Northern Irish Sea Strait
5290;8945;;-1;-1;-1;-1;-1;NORTH_BANDA_ARCHIPELAGO;north banda archipelago
5984;6007;;-1;-1;-1;-1;-1;NORTH_MALACCA_STRAIT;Northern Strait of Malacca
5984;8261;;-1;-1;-1;-1;-1;NORTH_MALACCA_STRAIT;Northern Strait of Malacca
2382;2431;;-1;-1;-1;-1;-1;ORESUND_STRAIT;Denmark
2284;8857;sea;7617;1560;1009;1556;1016;PANAMA_CANAL;Panama
2919;2943;;-1;-1;-1;-1;-1;PERSIAN_GULF;Persian Gulf
13306;13307;;-1;-1;-1;-1;-1;SAINT_LAWERENCE_STRAIT;Saint Lawerence strait
5257;5282;;-1;-1;-1;-1;-1;SALISH_STRAIT;salish strait
2856;2876;;-1;-1;-1;-1;-1;SAN_BERNARDINO_STRAIT;san bernardino strait
8621;13353;;-1;-1;-1;-1;-1;SCHELDT_ESTUARY;scheldt estuary
2455;2506;;-1;-1;-1;-1;-1;SKAGERRAK_STRAIT;Øresund
5238;5514;;-1;-1;-1;-1;-1;SOUTH_BANDA_ARCHIPELAGO;south banda archipelago
5438;5514;;-1;-1;-1;-1;-1;SOUTH_BANDA_ARCHIPELAGO;south banda archipelago
5438;5487;;-1;-1;-1;-1;-1;SOUTH_BANDA_ARCHIPELAGO;south banda archipelago
8791;13452;;-1;-1;-1;-1;-1;STRAIT_OF_BEPPU;strait of beppu
2799;13529;;-1;-1;-1;-1;-1;STRAIT_OF_DOVER;strait of dover centre
5929;13528;;-1;-1;-1;-1;-1;STRAIT_OF_DOVER;strait of dover far north
2799;13528;;-1;-1;-1;-1;-1;STRAIT_OF_DOVER;strait of dover north
8621;13529;;-1;-1;-1;-1;-1;STRAIT_OF_DOVER;strait of dover south
2708;7932;;-1;-1;-1;-1;-1;STRAIT_OF_KOREA;strait of korea
2534;4465;;-1;-1;-1;-1;-1;STRAIT_OF_LAPEROUSE;strait of laperouse
5539;5960;;-1;-1;-1;-1;-1;STRAIT_OF_MALACCA;Strait of Malacca
1452;5681;;-1;-1;-1;-1;-1;STRAIT_OF_MESSINA;strait of messina
5838;5864;;-1;-1;-1;-1;-1;STRAIT_OF_OTRANTO;strait of otranto
5388;13432;;-1;-1;-1;-1;-1;STRAIT_OF_TIRAN;Strait of Tiran
13452;13453;;-1;-1;-1;-1;-1;STRAIT_OF_WAKAYAMA;strait of wakayama
3990;8314;;-1;-1;-1;-1;-1;ST_GEORGES_CHANNEL;St George's Channel East
3990;4212;;-1;-1;-1;-1;-1;ST_GEORGES_CHANNEL;St George's Channel West
803;13431;sea;1155;-1;-1;-1;-1;SUEZ_CANAL;Suez
5388;13431;;-1;-1;-1;-1;-1;SUEZ_GULF;Suez Gulf Strait
2436;8797;;-1;-1;-1;-1;-1;SULU_STRAIT;sulu strait
2436;8848;;-1;-1;-1;-1;-1;SULU_STRAIT;sulu strait
2436;2922;;-1;-1;-1;-1;-1;SULU_STRAIT;sulu strait
2856;8751;;-1;-1;-1;-1;-1;SURIGAO_STRAIT;surigao strait
5664;13457;;-1;-1;-1;-1;-1;TOKYO_BAY;tokyo bay
5563;5613;;-1;-1;-1;-1;-1;TORRES_STRAIT;torres strait
5364;5563;;-1;-1;-1;-1;-1;TORRES_STRAIT;torres strait
2768;8642;;-1;-1;-1;-1;-1;TRANS_CANADA_HWY;trans canada hwy
5946;6824;;-1;-1;-1;-1;-1;TSUGARU_STRAIT;tsugaru strait
2876;5463;;-1;-1;-1;-1;-1;VERDE_ISLAND_STRAIT;verde island passage
2876;2971;;-1;-1;-1;-1;-1;VERDE_ISLAND_STRAIT;verde island passage
843;8282;sea;9504;-1;-1;-1;-1;VOLGA_DON_CANAL;volga don canal
225;6801;;-1;-1;-1;-1;-1;WESTERN_CRETE_STRAIT;western crete strait
8396;13372;;-1;-1;-1;-1;-1;YANGTZE_STRAIT;yangtze strait
-1;-1;;-1;-1;-1;-1;-1;-1
